name,datetime,tempmax,tempmin,humidity,windspeed,visibility,description
BRONX,16-10-2016,21.5,11.8,69.4,16.1,15.6,Partly cloudy throughout the day.
BRONX,17-10-2016,27.4,17.8,64.3,12.5,15,Partly cloudy throughout the day.
BRONX,18-10-2016,27.5,19.3,66.8,23.3,14.5,Clear conditions throughout the day.
BRONX,19-10-2016,29.2,20.4,57.7,16.2,15.5,Clearing in the afternoon.
BRONX,20-10-2016,21.3,16.8,69.5,19.4,14.7,Partly cloudy throughout the day.
BRONX,21-10-2016,21.1,18.9,89.4,14,10.1,Partly cloudy throughout the day with rain in the 
BRONX,22-10-2016,16.9,8.9,74,35.4,14.5,Cloudy skies throughout the day with a chance of r
BRONX,23-10-2016,16.7,8.2,45,34.3,16,Becoming cloudy in the afternoon.
BRONX,24-10-2016,16.8,9.9,56.6,26.2,16,Partly cloudy throughout the day.
BRONX,25-10-2016,11.5,7.5,49.1,37.3,16,Partly cloudy throughout the day.
